"","meany12"
"1",0.533974124366103
"2",0.586425092486638
"3",0.532848813637028
"4",0.536455007757398
"5",0.55234814606232
"6",0.5537825063271
"7",0.547354851931473
"8",0.55704867980926
"9",0.56546586310972
"10",0.58943009954857
"11",0.581997537422148
"12",0.559700790519284
"13",0.522871048446106
"14",0.573284196706932
"15",0.600804133468253
"16",0.574215530721488
"17",0.540905371085877
"18",0.600682414635827
"19",0.541451526036401
"20",0.539803155217979
"21",0.570481942537551
"22",0.59774207992671
"23",0.566611241537595
"24",0.606830866071006
"25",0.590285809062198
"26",0.550366526095345
"27",0.56331130700631
"28",0.549643675065081
"29",0.537159852874283
"30",0.542425508345894
"31",0.551151285850398
"32",0.557168643415414
"33",0.6368943755749
"34",0.557594243425782
"35",0.523908705690207
"36",0.512029363963541
"37",0.56023335047819
"38",0.58194385107724
"39",0.582155844641203
"40",0.543397902513017
"41",0.556058981688474
"42",0.522422646207306
"43",0.600095060760333
"44",0.553658662595727
"45",0.554966037048814
"46",0.545190648244748
"47",0.541349368595544
"48",0.555867641934258
"49",0.574829931283902
"50",0.532502082391243
"51",0.548733110580552
"52",0.579376614974334
"53",0.55853073914974
"54",0.569391162666703
"55",0.538440703875984
"56",0.547594809867078
"57",0.570448384506554
"58",0.548200504598133
"59",0.557284844426105
"60",0.573186118567111
"61",0.575350396515192
"62",0.549649481776311
"63",0.583376054180696
"64",0.569403946300259
"65",0.553992563448361
"66",0.571904393725858
"67",0.606907145527219
"68",0.567162151059542
"69",0.576753582229636
"70",0.574748203800867
"71",0.562735673859575
"72",0.542876685310335
"73",0.544944050987823
"74",0.576377227614355
"75",0.58021499945954
"76",0.564210589183246
"77",0.552350922415815
"78",0.574789771688307
"79",0.535816640367768
"80",0.589651152544765
"81",0.581497868234963
"82",0.592905162158514
"83",0.525727631451524
"84",0.532536396390026
"85",0.52935584230821
"86",0.544270073096638
"87",0.580812781257382
"88",0.560914948286916
"89",0.568444720332776
"90",0.615813289891253
"91",0.552910216851458
"92",0.569913077849927
"93",0.563625690123106
"94",0.589473677090605
"95",0.533299807647627
"96",0.563963946631995
"97",0.538623705754931
"98",0.55440659367877
"99",0.554385659328673
"100",0.552736732764841
"101",0.565416389512972
"102",0.582719640636702
"103",0.56756599725174
"104",0.560962392177544
"105",0.560285473002839
"106",0.538514940856824
"107",0.532457900157999
"108",0.550742150433819
"109",0.596480063562506
"110",0.573753443627645
"111",0.589750317860942
"112",0.532957831009923
"113",0.505677935005176
"114",0.58271546462023
"115",0.606740911187063
"116",0.530324300366687
"117",0.578026869815308
"118",0.57318618437293
"119",0.533141480650209
"120",0.553889491685745
"121",0.611917718171816
"122",0.567905269820059
"123",0.54495509380497
"124",0.573280943203014
"125",0.520455740365622
"126",0.548751354264518
"127",0.597969888335106
"128",0.604306676751843
"129",0.583434400019364
"130",0.556982564871279
"131",0.592137066836638
"132",0.561026451573043
"133",0.542270156872343
"134",0.582818559400981
"135",0.565014228112996
"136",0.575333280354062
"137",0.560762663951961
"138",0.567976712125933
"139",0.542724473408954
"140",0.56897140037028
"141",0.583203662751019
"142",0.553405020707575
"143",0.580472353427901
"144",0.533883000065582
"145",0.545929332445046
"146",0.566004659762549
"147",0.631300171735714
"148",0.588306064582638
"149",0.579961414527662
"150",0.53752340831867
"151",0.557673008229258
"152",0.567188940608422
"153",0.620090019305452
"154",0.5926423417823
"155",0.570792039465978
"156",0.575744143522974
"157",0.615726856430392
"158",0.540672732924796
"159",0.55979495526724
"160",0.55318664195536
"161",0.547348149238593
"162",0.604844949010896
"163",0.563921709147766
"164",0.559039369654862
"165",0.552904302652275
"166",0.583736104980233
"167",0.564668058686032
