"","V1"
"1",0.0806537572777513
"2",0.0762590619711756
"3",0.0412581178251939
"4",0.0406573121584694
"5",0.0530044452322186
"6",0.0723348245015175
"7",0.0365212583596885
"8",0.0848270857742095
"9",0.0708405099481905
"10",0.0491535104545054
"11",0.0702489728122623
"12",0.044920939444008
"13",0.0402490858780128
"14",0.0432528308521827
"15",0.0402863111133775
"16",0.0416730444590269
"17",0.0769396605958304
"18",0.0620940627182905
"19",0.131878600856552
"20",0.0666889973072477
"21",0.1227348482473
"22",0.0575672246742148
"23",0.221674624481921
"24",0.0766699900470842
"25",0.0409061691706631
"26",0.0363664346082262
"27",0.133314174095749
"28",0.111949383769003
"29",0.0440197246347673
"30",0.0468919987229131
"31",0.052868644602894
"32",0.0502774100756189
"33",0.0479066680970747
"34",0.0554801028696259
"35",0.0341538824065608
"36",0.0457236932325641
"37",0.0647530668239275
"38",0.0677111567152207
"39",0.0634961894406503
"40",0.0416826904020486
"41",0.0769854806102773
"42",0.0629221103269277
"43",0.0345897066092127
"44",0.0461623467656236
"45",0.0739504346385431
"46",0.108537551514967
"47",0.103238800891482
"48",0.055097243032779
"49",0.0759496429189915
"50",0.0665490624640043
"51",0.0514246573397804
"52",0.048989144155861
"53",0.0388327799147413
"54",0.0540587191516055
"55",0.106819362387999
"56",0.0361272714767118
"57",0.0521032859802128
"58",0.0385600151444234
"59",0.0568050692791
"60",0.041268579002053
"61",0.0402403567370906
"62",0.0482777733680235
"63",0.0452134849833504
"64",0.0614133034865495
"65",0.0499128334508932
"66",0.0474059964024913
"67",0.0849856820122704
"68",0.0375968794887548
"69",0.0538494822916609
"70",0.0760388824511817
"71",0.0394913051717463
"72",0.0549350286770836
"73",0.0331044802190879
"74",0.0535075488587961
"75",0.0471616322817226
"76",0.043208307633022
"77",0.0572282232263901
"78",0.132813541845433
"79",0.0507463108013252
"80",0.110177247967709
"81",0.0448693202558633
"82",0.0457214958569636
"83",0.321004617069301
"84",0.0501678812933674
"85",0.0413739338282761
"86",0.0370742194711841
"87",0.0677278566057171
"88",0.0574613417302727
"89",0.0714322050849144
"90",0.0512928550452625
"91",0.0554400699294063
"92",0.0586825821048674
"93",0.049380087312872
"94",0.0468925686557474
"95",0.0503108133010581
"96",0.0459860616164866
"97",0.0650489916857536
"98",0.0559070793781111
"99",0.0575653417439661
"100",0.0455430167670445
"101",0.11675423033494
"102",0.054966310508542
"103",0.0703648328529299
"104",0.0738613168936828
"105",0.111713945346582
"106",0.0410553357765984
"107",0.0504982422628315
"108",0.0646669630784849
"109",0.0633233322321559
"110",0.0638285234147042
"111",0.100856202350318
"112",0.043246757596803
"113",0.065349296660556
"114",0.0522393761256051
"115",0.0477919268317746
"116",0.0611886037380268
"117",0.0506358717814327
"118",0.0489642744514863
"119",0.0584277036188294
"120",0.0645436844319325
"121",0.0695036086376234
"122",0.0883865038968757
"123",0.0434114971445785
"124",0.0522752024721711
"125",0.0419294381639216
"126",0.08169629871594
"127",0.0646190831019365
"128",0.0791641250127439
"129",0.0665769780915147
"130",0.0981028698909615
"131",0.047138776609956
"132",0.0336819791423632
"133",0.0521055319982004
"134",0.0523087578036934
"135",0.0453526700405962
"136",0.0514548213249411
"137",0.0397378157310991
"138",0.0835470158039877
"139",0.0657534972183454
"140",0.16329972895429
"141",0.0938091919120375
"142",0.0647111524471831
"143",0.0534037137061881
"144",0.0367091880622532
"145",0.045282986413857
"146",0.072303147740095
"147",0.252409182012741
"148",0.0518675912437652
"149",0.0907081493017897
"150",0.0612186902782693
"151",0.0672724445684619
"152",0.0703465342667522
"153",0.0542177920286233
"154",0.0488472396757413
"155",0.0554726612559628
"156",0.0715143293142022
"157",0.0492472145058309
"158",0.0583954760567772
"159",0.0601369161965375
"160",0.0424742772890756
"161",0.0696795004911825
"162",0.0514642153603368
"163",0.0697809152471174
"164",0.0822874906337704
"165",0.0445110920827766
"166",0.0499567996592034
"167",0.0539472661949484
"168",0.0553868837618216
"169",0.0581272998262069
"170",0.0551262042845872
"171",0.109190124779847
"172",0.0347898730354592
"173",0.0484186739175758
"174",0.0530504925670844
"175",0.0436467031266753
"176",0.124265658418785
"177",0.0590913753846118
"178",0.0497773457757354
"179",0.0910947515511114
"180",0.0534948494664255
"181",0.0628514092306353
"182",0.0322651322320853
"183",0.0635182567653915
"184",0.0656666214670208
"185",0.0347069929220122
"186",0.0462680581309183
"187",0.076025493846723
"188",0.152265433449658
"189",0.0601021342996371
"190",0.046407383693678
"191",0.0470243845587054
"192",0.0520569679765948
"193",0.116415725096437
"194",0.104702560254168
"195",0.0411440545639718
"196",0.0453548417999753
"197",0.282923087650827
"198",0.0728884018370151
"199",0.0398224027306242
"200",0.0462986854267495
"201",0.15135963107362
"202",0.0416008459472264
"203",0.0563793096529023
"204",0.0651982325167798
"205",0.0576852819426846
"206",0.116110178357068
"207",0.0846725544256311
"208",0.0414185081625348
"209",0.0497626257764301
"210",0.062709601893967
"211",0.047156664002689
"212",0.052945386176771
"213",0.0455899473412365
"214",0.073375604817337
"215",0.184403103661419
"216",0.0397213099075993
"217",0.0632792530064422
"218",0.0521764567764547
"219",0.0670513607794944
"220",0.04217077851243
"221",0.0504963294513139
"222",0.0476792063518329
"223",0.113173475806841
"224",0.0761625299868258
"225",0.0448676331866586
"226",0.0609281375744511
"227",0.0531449941852231
"228",0.0470435374643593
"229",0.0738963616689232
"230",0.0680074614115419
"231",0.101585429241014
"232",0.0693621214264111
"233",0.0428756308783143
"234",0.0410838949469466
"235",0.0512199922116532
"236",0.0602944602589536
"237",0.0550496049441616
"238",0.0497448371057602
"239",0.121137024592079
"240",0.0873028041632572
"241",0.0723949154886278
"242",0.0415807334400935
"243",0.0480531859595537
"244",0.0524982026335493
"245",0.0894027260689181
"246",0.0550080956224734
"247",0.0544481047149684
"248",0.0449044013171209
"249",0.048434016300977
"250",0.0399342121027999
"251",0.0399638142907884
"252",0.0573300308171762
"253",0.0326846974828936
"254",0.0476010286241034
"255",0.0453578405557514
"256",0.0458361181635174
"257",0.0431539637463063
"258",0.0476475422957664
"259",0.0454224223877672
"260",0.0644967112210598
"261",0.0787896993636773
"262",0.038592654076103
"263",0.070217852454754
"264",0.0534249685541596
"265",0.0415995164576002
"266",0.0478136777825702
"267",0.0451605967204204
"268",0.0739010376492485
"269",0.040389490947822
"270",0.0484849090208782
"271",0.0536530263954148
"272",0.0353925632385256
"273",0.046522527182497
"274",0.0454289487006601
"275",0.0901671224715848
"276",0.102338083400946
"277",0.0744210284546521
"278",0.0373320926824561
"279",0.0521482085693975
"280",0.220596356952561
"281",0.0687401393857558
"282",0.0651577151493269
"283",0.049415172996198
"284",0.139821416080236
"285",0.0515407478540723
"286",0.0616259595509489
"287",0.0538123312307775
"288",0.0612004932811013
"289",0.0466727300560438
"290",0.0707027391975662
"291",0.0435260546231557
"292",0.0470464459012643
"293",0.0510609542250583
"294",0.045897723384564
"295",0.0706350769746661
"296",0.0385035702431973
"297",0.0438987714796987
"298",0.0737131887866544
"299",0.0301616626302703
"300",0.103259786409792
"301",0.0785772503273919
"302",0.0428013658611755
"303",0.0492852715449397
"304",0.0352875945953677
"305",0.0892269798390535
"306",0.0400124600098958
"307",0.056155731388369
"308",0.0420569776911138
"309",0.06319000530012
"310",0.0390001587592967
"311",0.0791936875195363
"312",0.543364004699651
"313",0.0359640378283141
"314",0.0590977260698641
"315",0.0389799688011416
"316",0.0432089881107025
"317",0.0480645337876437
"318",0.0674287995560921
"319",0.0758589345421133
"320",0.0442279691927197
"321",0.0473660308583466
"322",0.0816103028607961
"323",0.0807485303827481
"324",0.0570102956651937
"325",0.0510548574866573
"326",0.0882787485733338
"327",0.0571482273543332
"328",0.0715120963632129
"329",0.0499795406614123
"330",0.0590075117236854
"331",0.0554948288898831
"332",0.0411582011453183
"333",0.12189031991347
"334",0.0430697942488273
"335",0.036327632167224
"336",0.0671349044193872
"337",0.0545774665729726
"338",0.123427627753118
"339",0.0472548776608486
"340",0.0768613659548913
"341",0.043496666435276
"342",0.0430710952682356
"343",0.0471740376563461
"344",0.0940121485434644
"345",0.0434372780499267
"346",0.106459417986259
"347",0.0516754173529318
"348",0.0611258769709235
"349",0.0409052613155228
"350",0.0607708631148245
"351",0.0443746760178174
"352",0.0379352273690381
"353",0.0666251229882564
"354",0.0614268176108456
"355",0.0670818539842173
"356",0.0426671400741316
"357",0.0592368779555231
"358",0.0548587284014676
"359",0.0638952084328403
"360",0.0627630104358091
"361",0.0395020867549681
"362",0.0348595961532231
"363",0.160999012709977
"364",0.0729932883310936
"365",0.0678431058774229
"366",0.0525087415152556
"367",0.0481502514888429
"368",0.0438400708494233
"369",0.065139685776708
"370",0.0486922658406274
"371",0.0457081558619629
"372",0.0361632389432444
"373",0.0591350771431282
"374",0.0500055284345704
"375",0.0493572060749667
"376",0.0591979994849534
"377",0.0540255903943043
"378",0.0426550277031526
"379",0.135284682539457
"380",0.0449056146602688
"381",0.0711749332727218
"382",0.0642996600281848
"383",0.060088029101805
"384",0.110710276931733
"385",0.0426270442177794
"386",0.170210503908735
"387",0.0618713145542497
"388",0.0463798474594509
"389",0.0609105949707829
"390",0.0489544885277891
"391",0.0559360341344714
"392",0.0701236874406308
"393",0.0517803772809435
"394",0.142488448617958
"395",0.0386357902063107
"396",0.11952893812387
"397",0.0716332203142296
"398",0.0505219006680285
"399",0.0478572625711468
"400",0.0524900357729679
"401",0.0415484210294752
"402",0.0396303514322114
"403",0.0637062591111191
"404",0.0562819856573672
"405",0.0629800962763858
"406",0.0530414806336761
"407",0.0543071268348047
"408",0.0458270269531467
"409",0.083610045713061
"410",0.0796027824652202
"411",0.0408237396971831
"412",0.0388434382382671
"413",0.0473028006053876
"414",0.0483924150048371
"415",0.0787933717839578
"416",0.0384689167339485
"417",0.0511162271017901
"418",0.0515158153344993
"419",0.0443575240532109
"420",0.0468501101896839
"421",0.331968997344622
"422",0.0501906006662179
"423",0.0356105528819461
"424",0.0457125472995731
"425",0.0799988911963465
"426",0.0505163675438373
"427",0.0523813083145649
"428",0.0548263546928815
"429",0.0561383182361064
"430",0.0687447718330458
"431",0.0413616191019156
"432",0.0687348144782342
"433",0.0456695733687938
"434",0.077762792710994
"435",0.0484292804324699
"436",0.0764449363401143
"437",0.0437232179447462
"438",0.0503943453483787
"439",0.0526994590763473
"440",0.0735167431688824
"441",0.0976703514470531
"442",0.0543425577179263
"443",0.0372119491174978
"444",0.0613735407056343
"445",0.0418462362016077
"446",0.0486519793097552
"447",0.0413760557438182
"448",0.0582494420268587
"449",0.0690729936319568
"450",0.0417022563514823
"451",0.053407081629435
"452",0.0403929638590185
"453",0.04376039581068
"454",0.0500019849022951
"455",0.0564196660380338
"456",0.0512826528221275
"457",0.088798826954546
"458",0.0440671475884559
"459",0.0679300219569794
"460",0.036753099181354
"461",0.0454568074521143
"462",0.0560972696319184
"463",0.177088177585918
"464",0.0532908780401484
"465",0.0566358267883964
"466",0.0425409457169404
"467",0.0970057163005752
"468",0.0656537819009309
"469",0.0697903081504137
"470",0.130560797254913
"471",0.0631545790042355
"472",0.0541995783441862
"473",0.0540064937441212
"474",0.0639194807362625
"475",0.0512913886467927
"476",0.0410830912552546
"477",0.0459091590070794
"478",0.044446419049138
"479",0.0677823125356165
"480",0.0457960159242378
"481",0.0428519905434301
"482",0.118695442441664
"483",0.0541085983488676
"484",0.0382688349884085
"485",0.05976530353885
"486",0.0673557478001696
"487",0.0460701845729208
"488",0.0575508277854672
"489",0.0459594461704118
"490",0.0576988905863913
"491",0.0612380642467314
"492",0.115763254704236
"493",0.102016019595466
"494",0.106291850817568
"495",0.0374315528954702
"496",0.0347022269818028
"497",0.115839198401326
"498",0.0640132989850793
"499",0.0620025188282614
"500",0.0386896232268022
"501",0.0456319685534602
"502",0.0558646780940183
"503",0.0498713484233735
"504",0.0491705185938072
"505",0.0716745573840591
"506",0.0442551684823943
"507",0.0508471232946801
"508",0.0488726839144671
"509",0.0470221542167046
"510",0.104607184753536
"511",0.0488097215751142
"512",0.0525803958569419
"513",0.183831366835369
"514",0.0539335507202386
"515",0.0481663657964512
"516",0.0577286958828566
"517",0.0487244936004591
"518",0.051753792594715
"519",0.0625058890925602
"520",0.0692237108426778
"521",0.0433728206426212
"522",0.042748242561676
"523",0.082005179769366
"524",0.079267338810743
"525",0.153251454697941
"526",0.0396184057806515
"527",0.0475210277856586
"528",0.0692028741035371
"529",0.0749836641183849
"530",0.0655447509199054
"531",0.0386081657423815
"532",0.0689381568184378
"533",0.0396252202719703
"534",0.0486892397139211
"535",0.043239241400266
"536",0.0604568526994561
"537",0.0389195903069535
"538",0.049098517898661
"539",0.042318994152903
"540",0.0673264147452639
"541",0.0383519308001493
"542",0.0647174192737591
"543",0.0534247468187081
"544",0.0464007783399241
"545",0.0887114925958788
"546",0.0505754814930461
"547",0.0400545457572632
"548",0.0758147745290441
"549",0.0732194617532512
"550",0.0610483638923283
"551",0.0376828057830936
"552",0.189876496841301
"553",0.0501438065155763
"554",0.0485630609212951
"555",0.0976521199072641
"556",0.265186848452881
"557",0.0399410600030483
"558",0.0656986531760884
"559",0.0492449151798655
"560",0.0638183590875475
"561",0.0606988382090815
"562",0.214794693276075
"563",0.0432968769522056
"564",0.0501510771793818
"565",0.0410164690752944
"566",0.066392540652357
"567",0.0650389986532159
"568",0.0553564953127227
"569",0.0469795667731663
"570",0.0479930015109399
"571",0.054123525369574
"572",0.0517386992028719
"573",0.0459921192793748
"574",0.0625315103818628
"575",0.0563331950666682
"576",0.433743836806148
"577",0.0377648554341152
"578",0.0514467117351291
"579",0.0385805279905081
"580",0.0507142019806017
"581",0.0441733543728782
"582",0.0553544816027573
"583",0.0421300306951213
"584",0.11117006679776
"585",0.0792021849750708
"586",0.0502504254387293
"587",0.125294705427466
"588",0.0802596588839198
"589",0.0887980574508941
"590",0.0423075542679559
"591",0.0447376381112385
"592",0.0642575529852488
"593",0.0409761952992199
"594",0.0530977404832778
"595",0.169828466155257
"596",0.0423096994396304
"597",0.0423620816426543
"598",0.0986767506020871
"599",0.076745058328833
"600",0.0455354898043829
"601",0.0510861627205707
"602",0.0524063180967982
"603",0.0455482411978537
"604",0.038422651953403
"605",0.069568522325773
"606",0.0581210936861094
"607",0.0620942846488742
"608",0.0836741664547728
"609",0.0439720098612301
"610",0.0556163184376143
"611",0.064547646308456
"612",0.0978548816790161
"613",0.0455370981316016
"614",0.0553428249509668
"615",0.0402738905546841
"616",0.0401591664426795
"617",0.0673636836855181
"618",0.0486759180785278
"619",0.038595359861116
"620",0.03493280597966
"621",0.0430666885261006
"622",0.0550183265046136
"623",0.0437820656232847
"624",0.0598675527381967
"625",0.0722211917490118
"626",0.142913381759533
"627",0.053097587826673
"628",0.045322771466697
"629",0.0833037524216368
"630",0.0601515363430168
"631",0.0856497862775837
"632",0.0859735459742662
"633",0.0366707877492504
"634",0.101396085561403
"635",0.092225727838448
"636",0.0511350295283287
"637",0.0401703631170849
"638",0.102595030912159
"639",0.0643101733355686
"640",0.0429143574889872
"641",0.0700117960409272
"642",0.0589396293826317
"643",0.0608826258874933
"644",0.044636747027117
"645",0.0665651711191593
"646",0.0483546833536813
"647",0.0384334714793999
"648",0.0335245762543067
"649",0.0457710732703725
"650",0.0718064765905078
"651",0.0402501960353266
"652",0.0800387618964968
"653",0.0496911135574543
"654",0.23627581221916
"655",0.0577238203229429
"656",0.0433987614482258
"657",0.0901414567524938
"658",0.0349352359175254
"659",0.0430374340788776
"660",0.0480622718414245
"661",0.0504336597960318
"662",0.0471261796969364
"663",0.0682452690723314
"664",0.0557766358358922
"665",0.105294167203543
"666",0.0484726268634767
"667",0.0670380569311883
"668",0.067787909916629
"669",0.052521150619264
"670",0.0468530255751505
"671",0.04558770988775
"672",0.332356602130234
"673",0.041567661731692
"674",0.0468945113922983
"675",0.114525667574112
"676",0.0353592145782183
"677",0.0543752471468537
"678",0.0639989622097587
"679",0.059003262416848
"680",0.0354891017781897
"681",0.0502970965436852
"682",0.0827696362733027
"683",0.0638818145130531
"684",0.0525871515999563
"685",0.0437592369065389
"686",0.05663554028341
"687",0.0785100123963938
"688",0.0544613784395333
"689",0.119609267829889
"690",0.0649398355598268
"691",0.0546914433401898
"692",0.08454062346272
"693",0.0623353821645107
"694",0.0749329540547103
"695",0.0569961114899469
"696",0.0946537224807888
"697",0.0458295571292215
"698",0.0655069746270912
"699",0.0555095472806436
"700",0.0740558147717469
"701",0.0581260494345618
"702",0.0488638775297405
"703",0.0463947584355009
"704",0.0552048271388446
"705",0.0540919167504049
"706",0.0463128950812852
"707",0.0508454264811159
"708",0.0459370126821755
"709",0.0412665715263006
"710",0.0467117300375403
"711",0.0840127937740571
"712",0.0486622448029656
"713",0.0432426556417217
"714",0.0563020791616039
"715",0.0617598108767591
"716",0.0903491143202236
"717",0.12774721870258
"718",0.0509593204378181
"719",0.0385539600080734
"720",0.0548661137915396
"721",0.0730382588812236
"722",0.052101418934859
"723",0.0397695247788543
"724",0.0622900610934198
"725",0.0414578210723177
"726",0.0534494959061583
"727",0.0360700458066672
"728",0.0727418421053169
"729",0.0706733246460736
"730",0.0627033184768081
"731",0.048230750508279
"732",0.051106998972782
"733",0.0556409749270916
"734",0.057971222277358
"735",0.056151768486025
"736",0.0623264433537685
"737",0.0559459397169462
"738",0.0343025306136725
"739",0.0387777329544265
"740",0.0806866831101153
"741",0.0488512979039951
"742",0.033046339916466
"743",0.0934844596432399
"744",0.0752693547527756
"745",0.167347216172518
"746",0.0557085941521316
"747",0.0364941001027234
"748",0.0450857989344652
"749",0.0387108058716217
"750",0.0638051670726943
"751",0.0453566017965676
"752",0.0881418794903868
"753",0.0468457961188593
"754",0.0619985306283159
"755",0.0634812029872996
"756",0.0713672799537694
"757",0.0555168167082983
"758",0.0512397268098839
"759",0.301901657872156
"760",0.0808547629408917
"761",0.0672557912677697
"762",0.109324025012203
"763",0.0537775400912506
"764",0.115045042496862
"765",0.0725095422216848
"766",0.0435569986631675
"767",0.0667631053298258
"768",0.055051727830539
"769",0.0833556246436355
"770",0.110397288472833
"771",0.0661573022084787
"772",0.0546500450464633
"773",0.0728119600384796
"774",0.0405556208599973
"775",0.10851019157045
"776",0.063463655277841
"777",0.07552272750214
"778",0.0412610077763012
"779",0.0482621514981324
"780",0.0512033433779681
"781",0.0507421338503144
"782",0.0432702417114216
"783",0.0469551829017461
"784",0.077854740455511
"785",0.0421743520126431
"786",0.0668897197366881
"787",0.0481669851919206
"788",0.0401447506821843
"789",0.0446551500317646
"790",0.0437003823067393
"791",0.0493932264016511
"792",0.036793344486635
"793",0.2704052996624
"794",0.0464874032172336
"795",0.0390828968972429
"796",0.0438948055280239
"797",0.0592940992188965
"798",0.0570425921153609
"799",0.0831249731778641
"800",0.130416705795542
"801",0.0518586993051293
"802",0.090024258707631
"803",0.0552431200907757
"804",0.0586516722488961
"805",0.0622343933235062
"806",0.0487717984903619
"807",0.072492883377807
"808",0.0709448505673781
"809",0.0424582618220696
"810",0.0541431950930397
"811",0.0446357115787599
"812",0.12999035965806
"813",0.0643457291070327
"814",0.057207102808816
"815",0.0965983033781423
"816",0.0776063690046656
"817",0.0404674660163383
"818",0.0567720872446758
"819",0.0451151822367194
"820",0.0544153009182558
"821",0.0410515863010964
"822",0.0444980830052409
"823",0.0500496959846348
"824",0.0408122913050439
"825",0.116541222673366
"826",0.0470220189179026
"827",0.0399375785188075
"828",0.0521408166356551
"829",0.10805325646063
"830",0.055089559421863
"831",0.0548049075260835
"832",0.04445413991268
"833",0.0466343422157403
"834",0.0424595494867393
"835",0.120337240812347
"836",0.0515598476196771
"837",0.0795767193394878
"838",0.0408061414046282
"839",0.0610323369218334
"840",0.234827164915009
"841",0.0819647854758773
"842",0.0740594233187195
"843",0.0474968513492438
"844",0.0715929563348736
"845",0.0393788459645204
"846",0.0438514540622926
"847",0.067955063589963
"848",0.0426674639010363
"849",0.0472498852115912
"850",0.0466564107761797
"851",0.03728641274132
"852",0.040844824758727
"853",0.046796256004927
"854",0.0587446377671312
"855",0.0581502498902512
"856",0.307129715998839
"857",0.0616960737639674
"858",0.0696898105646403
"859",0.043806271936238
"860",0.0629868123987963
"861",0.04733656457337
"862",0.0419296706263033
"863",0.0443123815652198
"864",0.0384193242703177
"865",0.0486201382118094
"866",0.0392754009711324
"867",0.0369543119253681
"868",0.0714186983152174
"869",0.054859895273483
"870",0.149198722081491
"871",0.0709875058448789
"872",0.0487642369343415
"873",0.108393165570545
"874",0.0458947191589302
"875",0.0619012165339278
"876",0.0766629500685365
"877",0.0458384475053
"878",0.0622079202238167
"879",0.237839161272765
"880",0.0502888910517725
"881",0.0531425783117658
"882",0.0619130315225482
"883",0.0662906662429191
"884",0.0530927081711891
"885",0.050309629326345
"886",0.0383552176807084
"887",0.0465155646947081
"888",0.0435730716141498
"889",0.0595255302699756
"890",0.0762441411427726
"891",0.0816252661951985
"892",0.0764417700286593
"893",0.0394590734053538
"894",0.04592518242671
"895",0.09744063405375
"896",0.0599357852433751
"897",0.0545068838225206
"898",0.0522790482842908
"899",0.0594988414605343
"900",0.0579959821792666
"901",0.0505027834867334
"902",0.0496014021659151
"903",0.0507879677582377
"904",0.0437483801773014
"905",0.106808343438271
"906",0.0480354379557367
"907",0.0329352630474059
"908",0.0936806528874625
"909",0.0385320478317505
"910",0.0488908205012856
"911",0.0462677493558863
"912",0.0537199529196907
"913",0.0468867546047168
"914",0.0502343052322438
"915",0.0386710108523798
"916",0.0550201706580809
"917",0.0605916034645508
"918",0.0646029585633955
"919",0.0422947395846269
"920",0.0452019329167933
"921",0.0672653464392771
"922",0.0654052247255889
"923",0.0522803749861655
"924",0.0569146389656159
"925",0.0506151333978585
"926",0.179141305689992
"927",0.0585707705076116
"928",0.0378010466454993
"929",0.0632200163989388
"930",0.0504835080934184
"931",0.0531309891699776
"932",0.0535272888712052
"933",0.0541071345262078
"934",0.0484848868561148
"935",0.0550529062673438
"936",0.0447297719198297
"937",0.0541729852389307
"938",0.044410130641478
"939",0.070416879197945
"940",0.0561382471504586
"941",0.0432941466478197
"942",0.0632171021891806
"943",0.0549924211923274
"944",0.0585115708445359
"945",0.0573425000598929
"946",0.0458311347053122
"947",0.0511168144251442
"948",0.051519334327911
"949",0.123077739973523
"950",0.0442363325342875
"951",0.0369211061164798
"952",0.0392958254286772
"953",0.050236804422505
"954",0.0467557060799206
"955",0.0513461742679065
"956",0.0655302551681874
"957",0.0592752165925514
"958",0.0403432945190416
"959",0.0834683763526118
"960",0.0392559913538971
"961",0.0516029932599171
"962",0.090556349894187
"963",0.0484121434940134
"964",0.0385645621991263
"965",0.0318722416810721
"966",0.197272649545526
"967",0.0417216323398524
"968",0.0538090817404885
"969",0.158333620672343
"970",0.0444080956256112
"971",0.0558067865916205
"972",0.0729621158191407
"973",0.0431824156857071
"974",0.0868529290958916
"975",0.0835121348264669
"976",0.0521925486303098
"977",0.0502773064367505
"978",0.0624483607007053
"979",0.0425511497933702
