"","meany12"
"1",0.465494409666382
"2",0.536889372244812
"3",0.573423728512821
"4",0.612641125019044
"5",0.513641258801777
"6",0.501709763640674
"7",0.592792208992713
"8",0.447906607365899
"9",0.600451240344551
"10",0.584811191379371
"11",0.54087921592346
"12",0.562865432119801
"13",0.57229261973353
"14",0.625114935060542
"15",0.661321772723
"16",0.578694398141001
"17",0.628520368802257
"18",0.584618771706279
"19",0.604006022659243
"20",0.588518379526687
"21",0.606893494004958
"22",0.525975958258818
"23",0.658612173414466
"24",0.479872480572121
"25",0.59312583482185
"26",0.637730882434344
"27",0.511490401814707
"28",0.694843779924528
"29",0.587556945451758
"30",0.563862309474905
"31",0.605127894804292
"32",0.516384792732463
"33",0.506617536182045
"34",0.570361534462114
"35",0.672002616193737
"36",0.5416507739525
"37",0.627757848212077
"38",0.521826307487749
"39",0.586720963822043
"40",0.580082602754963
"41",0.525524332943015
"42",0.662574253056531
"43",0.630983026853866
"44",0.643816334129015
"45",0.523811568684102
"46",0.461843446389386
"47",0.700628982846631
"48",0.619801400079103
"49",0.587849107495326
"50",0.579281290029746
"51",0.585915387904164
"52",0.620768092622189
"53",0.6312411026493
"54",0.517839501893205
"55",0.602381194716871
"56",0.656071223694816
"57",0.644751653347784
"58",0.572594335385499
"59",0.630420980540978
"60",0.574414390402605
"61",0.553566299939989
"62",0.633305477845555
"63",0.582658077525482
"64",0.489317081702353
"65",0.545205504678427
"66",0.556342762963224
"67",0.585332090594714
"68",0.482915334687984
"69",0.57447178060812
"70",0.616670364571242
"71",0.667007836288868
"72",0.559725160687913
"73",0.560791252886682
"74",0.593334025713363
"75",0.605071580143805
"76",0.491250862178068
"77",0.507170474954156
"78",0.533477200637473
"79",0.638548019566525
"80",0.454936089279472
"81",0.635438362949482
"82",0.564444285936087
"83",0.609424937813608
"84",0.524505070553781
"85",0.560209344264171
"86",0.539546019189886
"87",0.516944954761657
"88",0.53536939192425
"89",0.636953710483414
"90",0.622829223404673
"91",0.533729975974616
"92",0.575898195682611
"93",0.583964630470996
"94",0.608785159088369
"95",0.55152608965372
"96",0.596730563613253
"97",0.434708589133214
"98",0.569064073840926
"99",0.622422074089451
"100",0.655212601765017
"101",0.44302133848636
"102",0.569917161454188
"103",0.587015735862987
"104",0.606182871650883
"105",0.547619409582374
"106",0.586378223820797
"107",0.585683765875634
"108",0.522973111054237
"109",0.539163161684838
"110",0.492591790146303
"111",0.653104708616284
"112",0.551567827334294
"113",0.524256823384392
"114",0.572387867184504
"115",0.57461432300439
"116",0.578094526747415
"117",0.48657383233113
"118",0.593010620223509
"119",0.503925424994416
"120",0.532678661987319
"121",0.639268736567186
"122",0.587567166943889
"123",0.532731862750269
"124",0.575546272744326
"125",0.60909275872974
"126",0.550324647351221
"127",0.558310990717961
"128",0.478605720232167
"129",0.428911249224442
"130",0.523981496301948
"131",0.570270092492968
"132",0.596657971629351
"133",0.566210794238981
"134",0.51489704531081
"135",0.426155089525627
"136",0.523712843042575
"137",0.552558658503527
"138",0.567429124756424
"139",0.553471852149208
"140",0.69383927994381
"141",0.383971615949529
"142",0.493852664398731
"143",0.595313303805829
"144",0.602514305003805
"145",0.525281063652123
"146",0.637582153103026
"147",0.654940622444986
"148",0.593900982267432
"149",0.512664359041171
"150",0.623696927456735
"151",0.647175646959962
"152",0.578150270430039
"153",0.605747609746518
"154",0.539683857221788
"155",0.639483785365207
"156",0.510012707309824
"157",0.562933838293565
"158",0.550216965104497
"159",0.600482126732635
"160",0.606424506151978
"161",0.488782766794992
"162",0.489906699158645
"163",0.584317352458936
"164",0.58063155272314
