"","meany5"
"1",0.490629085838167
"2",0.544484650733866
"3",0.567942847681274
"4",0.613435840406019
"5",0.509786731341845
"6",0.475306340385595
"7",0.567490471398485
"8",0.497712971569161
"9",0.558650210154517
"10",0.562127769546939
"11",0.559810201977391
"12",0.581322873604066
"13",0.563143391039582
"14",0.59867458446547
"15",0.622175439973084
"16",0.568860986427669
"17",0.587152893452161
"18",0.527469743680218
"19",0.48564625133436
"20",0.621707343724223
"21",0.552661724105498
"22",0.520079532145761
"23",0.561833224405987
"24",0.523993467534522
"25",0.544281037285853
"26",0.608619896257164
"27",0.539423296948536
"28",0.583530287760854
"29",0.596000765518581
"30",0.591633009801788
"31",0.552599642076318
"32",0.512138581929397
"33",0.521522173749237
"34",0.544708185599804
"35",0.645195415765988
"36",0.523992532210974
"37",0.544065803197816
"38",0.556611834216645
"39",0.550830084826552
"40",0.542969888262635
"41",0.551442831958215
"42",0.589519370304586
"43",0.608232585538916
"44",0.580064976249895
"45",0.543435436775629
"46",0.586198247937439
"47",0.629984326732041
"48",0.588528121422137
"49",0.540861204620714
"50",0.569824040483047
"51",0.564266296046725
"52",0.612277304091156
"53",0.619811566908306
"54",0.534060604432152
"55",0.542307559115934
"56",0.656395988374147
"57",0.584715801782608
"58",0.55522910949702
"59",0.589753973110358
"60",0.583646862938969
"61",0.538834770228685
"62",0.619141021991621
"63",0.599573036575551
"64",0.523306922728385
"65",0.545291797186877
"66",0.569769718737776
"67",0.510783226902992
"68",0.516611816143838
"69",0.55744455664776
"70",0.53599241537201
"71",0.616012079958753
"72",0.509630607715739
"73",0.572944397218973
"74",0.538596005821138
"75",0.618493266320413
"76",0.510612152647807
"77",0.493530703062334
"78",0.579296604848394
"79",0.583981067261605
"80",0.461166964769338
"81",0.601387498784773
"82",0.537557553159888
"83",0.602621191924333
"84",0.533904069225807
"85",0.543504022642878
"86",0.517540840871182
"87",0.562704607061849
"88",0.530549680781719
"89",0.595167547825889
"90",0.595999527421119
"91",0.507551425483751
"92",0.591300172808454
"93",0.556236704179257
"94",0.528402913867896
"95",0.561444418539531
"96",0.573397215764128
"97",0.481704447303246
"98",0.556221740418287
"99",0.567495868282417
"100",0.638788217832885
"101",0.455513016073183
"102",0.587937953055221
"103",0.552827344809981
"104",0.564814140052029
"105",0.525243938132749
"106",0.56008431100382
"107",0.622610067696884
"108",0.527925906083653
"109",0.54098256613994
"110",0.487405359531038
"111",0.607548323899237
"112",0.527364373436509
"113",0.548166482386731
"114",0.574259768366164
"115",0.570803314175005
"116",0.574400235216784
"117",0.495997316053302
"118",0.599548183451856
"119",0.495565456269447
"120",0.562248356584449
"121",0.575775740984194
"122",0.510466596205108
"123",0.538048611678728
"124",0.528155025166305
"125",0.585627917990094
"126",0.48731771820849
"127",0.586492150365805
"128",0.511940654015724
"129",0.454083365321286
"130",0.575690918086157
"131",0.502017517356321
"132",0.588539657563127
"133",0.558742524339256
"134",0.511518088165135
"135",0.412831699359715
"136",0.481643743139389
"137",0.548710576908367
"138",0.529251622735729
"139",0.554885933305337
"140",0.63432316956221
"141",0.425554273959579
"142",0.466072714365807
"143",0.567936861130568
"144",0.541855812523654
"145",0.519638181721447
"146",0.590025232713769
"147",0.537238268792968
"148",0.577466601413971
"149",0.527194497185683
"150",0.599132416732717
"151",0.597651469633024
"152",0.526408125486285
"153",0.543056158096825
"154",0.517979085809421
"155",0.591344722181726
"156",0.536927609437424
"157",0.551091657843909
"158",0.559873401731551
"159",0.520587419875204
"160",0.620499134467573
"161",0.47153478814765
"162",0.517587843634601
"163",0.509089676719063
"164",0.590357432871781
"165",0.613492664692069
"166",0.541643536292943
"167",0.48491744993243
"168",0.582326530709421
"169",0.542723927197698
"170",0.538005989595396
"171",0.563659018960318
"172",0.619485526131581
"173",0.555263415290262
"174",0.563187601557012
"175",0.534941611280634
"176",0.575892293639503
"177",0.598058153506909
"178",0.560044265129455
"179",0.5681370883631
"180",0.561088921808762
"181",0.640292532299565
"182",0.618424949046799
"183",0.494694671005207
"184",0.54998030764893
"185",0.624287123608903
"186",0.493597988659094
"187",0.602792324095231
"188",0.596716440667599
"189",0.55089367801572
"190",0.60891885351287
"191",0.571371458469211
"192",0.54000499989578
"193",0.570078777779908
"194",0.588457677270424
"195",0.539207203708588
"196",0.5840966706362
"197",0.545362980854544
"198",0.554116732972944
"199",0.603820490191734
"200",0.491723207614565
"201",0.550014497571792
"202",0.581916835372717
"203",0.582441444986421
"204",0.596318873586663
"205",0.529871828993471
"206",0.480549178076041
"207",0.573785602175621
"208",0.58810811185849
"209",0.562711213119642
"210",0.567613258539224
"211",0.59269311630873
"212",0.502089186631802
"213",0.482726297682823
"214",0.512713375720792
"215",0.553226298586486
"216",0.568063621657229
"217",0.540463322111237
"218",0.571644539484995
"219",0.534106145410303
"220",0.597346722811231
"221",0.561136103666328
"222",0.543548745264159
"223",0.461926041728303
"224",0.5940228157422
"225",0.532769620282119
"226",0.53304167634055
"227",0.618328966957783
"228",0.502845583202121
"229",0.551050771565554
"230",0.606100280852098
"231",0.528424172873255
"232",0.656731507082223
"233",0.624335736152125
"234",0.610078511189246
"235",0.588864135189552
"236",0.572149612782021
"237",0.608435664127772
"238",0.48726926215231
"239",0.579756460114686
"240",0.599762052982341
"241",0.591994710888276
"242",0.592350620074096
"243",0.517677443619417
"244",0.49627274734978
"245",0.57697759801753
"246",0.500424494383577
"247",0.573436492428611
"248",0.579124180068181
"249",0.500125595347642
"250",0.559971888903125
"251",0.599414534230681
"252",0.542475044460274
"253",0.582889393872323
"254",0.524288877123333
"255",0.517955964370552
"256",0.525874909101439
"257",0.555613614617301
"258",0.497893113716465
"259",0.517866562784611
"260",0.558974104960622
"261",0.491506513542407
"262",0.545688385333167
"263",0.646380133954869
"264",0.499002210501504
"265",0.499409609560195
"266",0.486436688558234
"267",0.570082365268414
"268",0.535961619348706
"269",0.487933867577772
"270",0.584810460637392
"271",0.487272677929972
"272",0.600817863538165
"273",0.476133315809026
"274",0.599332176803114
"275",0.564065004043562
"276",0.553218581700167
"277",0.564489894530097
"278",0.540947274336887
"279",0.529116779532344
"280",0.485637562539415
"281",0.494685216684104
"282",0.467938793846098
"283",0.481466946762155
"284",0.587342202068068
"285",0.546312049676067
"286",0.499782868225583
"287",0.530496227580072
"288",0.509330136437255
"289",0.562245803479947
"290",0.48567761833749
"291",0.54614609711798
"292",0.537088167652863
"293",0.543091137404562
"294",0.515938389892931
"295",0.539762572739724
"296",0.480466474240149
"297",0.533689616609161
"298",0.56725608400583
"299",0.665580162522773
"300",0.614730978488193
"301",0.595770440113769
"302",0.577191560538936
"303",0.539659962892943
"304",0.55393165335945
"305",0.550536941403375
"306",0.559768628972738
"307",0.493223382146657
"308",0.584957443932113
"309",0.528624337251639
"310",0.542642809641581
"311",0.513584174658156
"312",0.507704569549303
"313",0.559058864752469
"314",0.583951054202357
"315",0.562568933472886
"316",0.530135012662353
"317",0.519529736419823
"318",0.452545023680491
"319",0.490921349053242
"320",0.580283879005957
"321",0.662118719753384
"322",0.520700034334114
"323",0.562890890878522
"324",0.578993191729131
"325",0.659405521573002
"326",0.578408267766964
"327",0.526469738144251
"328",0.566745743830628
"329",0.47290526548689
"330",0.481591107180926
"331",0.452869954760789
"332",0.600937717941359
"333",0.5515410326083
"334",0.57533467822762
"335",0.562030299460406
"336",0.62022938418306
"337",0.571022771551513
"338",0.536803977100311
"339",0.490831572728024
"340",0.572708980576158
"341",0.54321612793055
"342",0.572421042935239
"343",0.613293907798373
"344",0.560998384301047
"345",0.568697240126389
"346",0.562175488812185
"347",0.46674676827403
"348",0.586981554742498
"349",0.5542983880863
"350",0.559785084368928
"351",0.512260852572709
"352",0.5350644678915
"353",0.527984701012654
"354",0.5983578434929
"355",0.480611183664341
"356",0.471489464987988
"357",0.559746692103709
"358",0.5586104221464
"359",0.50282132673651
"360",0.539882537476187
"361",0.576577000256429
"362",0.483381875820066
"363",0.54640698770215
"364",0.510935861057674
"365",0.544957240463309
"366",0.523338724323615
"367",0.612527809348172
"368",0.564787304501174
"369",0.495032397679592
"370",0.605444318320991
"371",0.524711071596217
"372",0.618841937705559
"373",0.546768216503778
"374",0.58770771174437
"375",0.506180867221139
"376",0.566545380952157
"377",0.555681029535305
"378",0.561348719721917
"379",0.601806599580908
"380",0.496492795906843
"381",0.629018638882198
"382",0.520752900917326
"383",0.540146868547866
"384",0.485262853882585
"385",0.504258108037002
"386",0.497661536468566
"387",0.556289796702791
"388",0.546191293765442
"389",0.516819325373137
"390",0.536516531270219
"391",0.61218450139689
"392",0.48240838605637
"393",0.506931973545157
"394",0.587182137158312
"395",0.477782383153598
"396",0.619782513504707
"397",0.569201101514241
"398",0.525039057840382
"399",0.549830894921351
"400",0.588217158246785
"401",0.634490086302274
"402",0.476651437659335
"403",0.564775897782072
